State,Assembly,Candidate,Party,Votes
Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,Bharatiya Janata Party,90969
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Indian National Congress,83157
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SANJAY MESHACK,Aam Aadmi Party,3737
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANITA MONDAL,All India Trinamool Congress,2283
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K.G.DAS,Communist Party of India (Marxist),1777
Andaman & Nicobar Islands,Andaman & Nicobar Islands,PRAKASH MINJ,Independent,1587
Andaman & Nicobar Islands,Andaman & Nicobar Islands,R.S.UMA BHARATTHY,Nationalist Congress Party,1151
Andaman & Nicobar Islands,Andaman & Nicobar Islands,GOUR CHANDRA MAJUMDER,Bahujan Samaj Party,1139
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SARAVANAN,Independent,847
Andaman & Nicobar Islands,Andaman & Nicobar Islands,N K P NAIR,Communist Party of India (Marxist-Leninist) (Liberation),436
Andaman & Nicobar Islands,Andaman & Nicobar Islands,V V KHALID,Independent,429
Andaman & Nicobar Islands,Andaman & Nicobar Islands,RAGHUBIR SINGH,Samajwadi Party,379
Andaman & Nicobar Islands,Andaman & Nicobar Islands,C G SAJI KUMAR,Independent,334
Andaman & Nicobar Islands,Andaman & Nicobar Islands,N KANNAN,Independent,314
Andaman & Nicobar Islands,Andaman & Nicobar Islands,A PANDIAN,All India Forward Bloc,225
Andaman & Nicobar Islands,Andaman & Nicobar Islands,None of the Above,None of the Above,1564
Andhra Pradesh,Adilabad,GODAM NAGESH,Telangana Rashtra Samithi,430847
Andhra Pradesh,Adilabad,NARESH,Indian National Congress,259557
Andhra Pradesh,Adilabad,RAMESH RATHOD,Telugu Desam,184198
Andhra Pradesh,Adilabad,RATHOD SADASHIV,Bahujan Samaj Party,94420
