States,Cancer Sites,Year,Sex,Race,Count,Population,Age-Adjusted Rate
Alabama,Thyroid,1999,Female,Black or African American,35.0,623475,6.3
Alabama,Thyroid,1999,Female,White,150.0,1640665,8.7
Alabama,Thyroid,1999,Male,White,58.0,1570643,3.6
Alabama,Thyroid,2000,Female,Black or African American,29.0,627439,4.9
Alabama,Thyroid,2000,Female,White,144.0,1643761,8.3
Alabama,Thyroid,2000,Male,White,49.0,1576095,3.0
Alabama,Thyroid,2001,Female,Black or African American,41.0,630901,6.9
Alabama,Thyroid,2001,Female,White,147.0,1645541,8.5
Alabama,Thyroid,2001,Male,White,43.0,1580087,2.6
Alabama,Thyroid,2002,Female,Black or African American,47.0,633374,7.9
Alabama,Thyroid,2002,Female,White,158.0,1646445,9.2
Alabama,Thyroid,2002,Male,White,71.0,1583267,4.3
Alabama,Thyroid,2003,Female,Black or African American,51.0,636876,8.6
Alabama,Thyroid,2003,Female,White,170.0,1650890,9.7
Alabama,Thyroid,2003,Male,White,67.0,1590946,3.9
Alabama,Thyroid,2004,Female,Black or African American,50.0,641873,8.4
Alabama,Thyroid,2004,Female,White,197.0,1657539,11.4
Alabama,Thyroid,2004,Male,White,71.0,1598272,4.1
Alabama,Thyroid,2005,Female,Black or African American,50.0,647132,8.0
Alabama,Thyroid,2005,Female,White,205.0,1666877,11.5
Alabama,Thyroid,2005,Male,White,69.0,1609163,3.9
Alabama,Thyroid,2006,Female,Black or African American,46.0,657654,7.4
Alabama,Thyroid,2006,Female,White,197.0,1685050,10.5
Alabama,Thyroid,2006,Male,White,89.0,1629110,5.0
Alabama,Thyroid,2007,Female,Black or African American,52.0,664831,8.1
Alabama,Thyroid,2007,Female,White,239.0,1697518,13.2
Alabama,Thyroid,2007,Male,Black or African American,16.0,579036,3.4
Alabama,Thyroid,2007,Male,White,83.0,1643115,4.5
Alabama,Thyroid,2008,Female,Black or African American,67.0,673102,10.4
Alabama,Thyroid,2008,Female,White,257.0,1710122,13.9
Alabama,Thyroid,2008,Male,Black or African American,16.0,586075,3.3
Alabama,Thyroid,2008,Male,White,97.0,1656414,5.3
Alabama,Thyroid,2009,Female,Black or African American,50.0,678586,7.5
Alabama,Thyroid,2009,Female,White,231.0,1720115,12.7
Alabama,Thyroid,2009,Male,White,105.0,1669087,5.6
Alabama,Thyroid,2010,Female,Black or African American,69.0,683671,10.6
Alabama,Thyroid,2010,Female,White,272.0,1727333,14.7
Alabama,Thyroid,2010,Male,White,86.0,1675541,4.4
Alabama,Thyroid,2011,Female,Black or African American,82.0,687819,11.7
Alabama,Thyroid,2011,Female,White,266.0,1730580,14.2
Alabama,Thyroid,2011,Male,White,96.0,1677736,5.3
Alabama,Thyroid,2012,Female,Black or African American,62.0,692223,8.8
Alabama,Thyroid,2012,Female,White,260.0,1733308,13.8
Alabama,Thyroid,2012,Male,Black or African American,16.0,605729,2.8
Alabama,Thyroid,2012,Male,White,94.0,1679120,4.9
Alabama,Thyroid,2013,Female,Black or African American,50.0,696742,7.2
Alabama,Thyroid,2013,Female,White,258.0,1734871,13.5
Alabama,Thyroid,2013,Male,Black or African American,16.0,610508,2.8
Alabama,Thyroid,2013,Male,White,102.0,1679529,5.6
Alabama,Thyroid,2014,Female,Black or African American,77.0,701059,11.1
Alabama,Thyroid,2014,Female,White,277.0,1737052,14.8
Alabama,Thyroid,2014,Male,White,130.0,1680568,6.8
Alabama,Thyroid,2015,Female,Black or African American,69.0,705276,9.8
Alabama,Thyroid,2015,Female,White,314.0,1737289,16.6
Alabama,Thyroid,2015,Male,Black or African American,16.0,618033,2.7
Alabama,Thyroid,2015,Male,White,103.0,1679421,5.1
Alaska,Thyroid,1999,Female,White,21.0,220036,9.1
Alaska,Thyroid,1999,Male,White,17.0,242016,7.6
Alaska,Thyroid,2000,Female,White,19.0,219884,7.9
Alaska,Thyroid,2001,Female,White,29.0,220808,13.1
Alaska,Thyroid,2002,Female,White,24.0,222980,9.4
Alaska,Thyroid,2003,Female,White,35.0,224714,14.5
Alaska,Thyroid,2004,Female,White,52.0,227747,20.5
Alaska,Thyroid,2005,Female,White,36.0,229332,16.5
Alaska,Thyroid,2005,Male,White,17.0,253360,6.2
Alaska,Thyroid,2006,Female,White,41.0,231903,16.2
Alaska,Thyroid,2007,Female,White,56.0,232706,22.2
Alaska,Thyroid,2007,Male,White,24.0,257707,9.3
Alaska,Thyroid,2008,Female,White,50.0,233554,19.7
Alaska,Thyroid,2009,Female,White,42.0,237925,17.0
Alaska,Thyroid,2009,Male,White,25.0,261942,8.7
Alaska,Thyroid,2010,Female,White,41.0,241197,16.0
Alaska,Thyroid,2011,Female,White,26.0,243550,10.6
Alaska,Thyroid,2012,Female,White,37.0,244805,13.7
Alaska,Thyroid,2013,Female,White,46.0,244650,18.2
Alaska,Thyroid,2013,Male,White,19.0,274874,6.9
Alaska,Thyroid,2014,Female,White,49.0,243178,18.6
Alaska,Thyroid,2014,Male,White,17.0,273790,6.0
Alaska,Thyroid,2015,Female,White,38.0,242374,15.5
Arizona,Thyroid,1999,Female,White,222.0,2235195,10.0
Arizona,Thyroid,1999,Male,White,82.0,2225387,3.8
Arizona,Thyroid,2000,Female,White,223.0,2292305,9.8
Arizona,Thyroid,2000,Male,White,92.0,2286610,4.1
Arizona,Thyroid,2001,Female,White,330.0,2338263,14.2
Arizona,Thyroid,2001,Male,White,98.0,2331036,4.3
Arizona,Thyroid,2002,Female,White,308.0,2387929,12.9
Arizona,Thyroid,2002,Male,White,122.0,2378350,5.2
Arizona,Thyroid,2003,Female,White,342.0,2434530,14.0
Arizona,Thyroid,2003,Male,White,135.0,2419988,5.6
Arizona,Thyroid,2004,Female,Asian or Pacific Islander,17.0,80587,21.4
Arizona,Thyroid,2004,Female,White,429.0,2490861,17.0
Arizona,Thyroid,2004,Male,White,145.0,2474943,5.9
Arizona,Thyroid,2005,Female,White,500.0,2565676,19.0
Arizona,Thyroid,2005,Male,White,150.0,2546316,5.7
Arizona,Thyroid,2006,Female,Asian or Pacific Islander,17.0,96907,20.8
Arizona,Thyroid,2006,Female,White,534.0,2637738,19.8
Arizona,Thyroid,2006,Male,White,159.0,2617740,5.9
Arizona,Thyroid,2007,Female,American Indian or Alaska Native,19.0,170621,14.3
